category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,35/321,133/5151,6.529019207931672e-14,1.854241455052595e-11,1.546346654510133e-11,3575/729230/9235/4050/1236/944/1230/4049/10673/959/8792/51561/3595/6351/6364/3576/282618/8744/10663/3554/3557/3953/943/6367/60401/59067/1524/3567/92/6375/9560/6361/1439/9966/7850,35
Human Diseases,Immune disease,hsa05310,Asthma,10/321,15/5151,1.7508333693110805e-9,2.4861833844217345e-7,2.073355305763122e-7,3113/3123/3115/3122/3119/3109/959/3117/3108/3567,10
Human Diseases,Immune disease,hsa05320,Autoimmune thyroid disease,12/321,26/5151,1.2264582372916502e-8,1.1610471313027624e-6,9.682565031249871e-7,3113/3123/3115/3122/3119/3109/959/3117/3108/3002/3567/7253,12
Human Diseases,Infectious disease: bacterial,hsa05150,Staphylococcus aureus infection,11/321,22/5151,1.7670603113713236e-8,1.2546128210736398e-6,1.0462857106803893e-6,3113/3123/3115/3122/3119/3109/3117/3108/719/2214/3383,11
Human Diseases,Endocrine and metabolic disease,hsa04940,Type I diabetes mellitus,12/321,28/5151,3.4475033786165745e-8,1.9581819190542142e-6,1.6330279161867986e-6,3113/3123/3115/3122/3119/3109/4049/3117/2571/3108/5799/3002,12
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,17/321,60/5151,7.019844922630879e-8,3.3227265967119493e-6,2.770991416827979e-6,3113/4050/3123/3115/3122/3119/3109/10673/8792/51561/3725/3117/3108/6364/3576/1514/3383,17
Organismal Systems,Immune system,hsa04672,Intestinal immune network for IgA production,12/321,30/5151,8.747135427708218e-8,3.5488378020987623e-6,2.959557099600525e-6,3113/3123/3115/3122/3119/3109/10673/959/3117/3108/57379/3567,12
Human Diseases,Immune disease,hsa05330,Allograft rejection,11/321,26/5151,1.54270139103753e-7,5.476589938183232e-6,4.567208065571636e-6,3113/3123/3115/3122/3119/3109/959/3117/3108/3002/3567,11
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,20/321,86/5151,1.8132950689232928e-7,5.642774237074667e-6,4.705797640258711e-6,8698/5367/1901/5023/5732/5027/154/10316/8862/719/2859/133/57105/6915/3953/4157/84634/7349/7253/2554,20
Organismal Systems,Immune system,hsa04640,Hematopoietic cell lineage,16/321,57/5151,1.9868923369981223e-7,5.642774237074667e-6,4.705797640258711e-6,3113/3575/3123/3115/3122/3119/3109/3673/3655/945/3117/3108/3672/3554/3567/7850,16
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecules,19/321,83/5151,4.829708929604918e-7,1.2414672307707375e-5,1.0353229315174795e-5,3113/3123/3115/3122/3119/3109/64115/959/3655/3117/5817/3108/9069/999/29126/7122/3685/4756/3383,19
Human Diseases,Immune disease,hsa05321,Inflammatory bowel disease,14/321,47/5151,5.245636186355229e-7,1.2414672307707375e-5,1.0353229315174795e-5,3113/3123/3115/3122/3119/3109/51561/3725/3595/3117/3108/59067/3567/6097,14
Human Diseases,Immune disease,hsa05332,Graft-versus-host disease,9/321,25/5151,1.0635782959136413e-5,2.3235095079959548e-4,1.9376932516645287e-4,3113/3123/3115/3122/3119/3109/3117/3108/3002,9
Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,12/321,48/5151,2.5356645818656758e-5,5.143776723213227e-4,4.28965812721637e-4,729230/1236/1230/4049/6351/6364/3576/6367/1524/6375/9560/6361,12
Human Diseases,Cancer: overview,hsa05206,MicroRNAs in cancer,20/321,126/5151,8.438236613418495e-5,0.0015976394654739017,0.001332353149487131,994/5292/1545/4609/90427/5159/5291/54541/1870/6624/5328/1029/5336/9839/5243/5581/7168/5154/2064/599,20
Environmental Information Processing,Signal transduction,hsa04064,NF-kappa B signaling pathway,15/321,82/5151,1.303353962486167e-4,0.0023134532834129464,0.0019293068523643922,4050/4049/10673/959/8792/5328/6351/4067/3576/3554/5336/60401/9560/3383/353376,15
Organismal Systems,Immune system,hsa04658,Th1 and Th2 cell differentiation,14/321,77/5151,2.3316944027146442e-4,0.0038953012374762295,0.003248490653936811,3113/3123/3115/3122/3119/4775/3109/3725/55534/3595/3117/3108/3567/28514,14
Organismal Systems,Immune system,hsa04062,Chemokine signaling pathway,19/321,129/5151,3.459280162144163e-4,0.005457975366938569,0.004551684423873901,729230/10235/1236/1230/5291/6351/4067/10451/6364/3576/10663/5336/6367/1524/59345/6375/115/9560/6361,19
Human Diseases,Infectious disease: viral,hsa05164,Influenza A,18/321,122/5151,4.833988706724777e-4,0.007113241212428041,0.0059320951549159,3113/3123/3115/3122/4599/5610/4940/3119/3109/91543/4938/5291/4600/3117/3108/3576/3665/3383,18
Human Diseases,Cardiovascular disease,hsa05416,Viral myocarditis,10/321,47/5151,5.009324797484536e-4,0.007113241212428041,0.0059320951549159,3113/3123/3115/3122/3119/3109/959/3117/3108/3383,10
Organismal Systems,Immune system,hsa04659,Th17 cell differentiation,15/321,93/5151,5.458805937399771e-4,0.0073823851724835,0.006156548049698992,3113/3123/3115/3122/3119/4775/3109/196/51561/3725/3117/3108/3554/59067/6097,15
Organismal Systems,Immune system,hsa04612,Antigen processing and presentation,11/321,57/5151,6.42025038869843e-4,0.008287959592683426,0.006911752810799746,3113/972/3123/3115/3122/3119/3109/10437/3117/3108/1514,11
Human Diseases,Infectious disease: viral,hsa05166,Human T-cell leukemia virus 1 infection,24/321,191/5151,6.875321593240933e-4,0.008489527532523588,0.007079850610888835,3113/3123/3115/3122/3119/4775/3109/4609/2114/4049/5291/1030/1870/3725/3117/3108/4776/3554/1029/1958/1959/115/3383/7850,24
Human Diseases,Cancer: overview,hsa05200,Pathways in cancer,37/321,351/5151,9.119423472112709e-4,0.010791317775333374,0.008999431058005965,2335/3575/10235/3479/5292/112399/4258/4609/5732/1495/5159/5291/6932/3673/1030/3655/1870/51561/3725/3280/3595/80326/3576/999/1029/5336/7704/3685/59345/3567/28514/2735/115/25780/1439/5154/2064,37
Environmental Information Processing,Signal transduction,hsa04630,JAK-STAT signaling pathway,15/321,98/5151,9.608546695387454e-4,0.010915309045960147,0.009102833711419695,3575/5292/1154/4609/5159/5291/51561/3595/282618/2273/3953/59067/3567/1439/5154,15
Human Diseases,Infectious disease: parasitic,hsa05140,Leishmaniasis,10/321,52/5151,0.0011586882453246802,0.012656440833546508,0.010554852437168142,3113/3123/3115/3122/3119/3109/3725/3117/3108/2214,10
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,14/321,95/5151,0.002045153164913616,0.02116187923097101,0.01764797193094321,3113/3123/87/3115/3122/3119/3109/959/3117/3108/2214/3013/85235/440686,14
NA,NA,hsa04081,Hormone signaling,13/321,85/5151,0.0020863824593915082,0.02116187923097101,0.01764797193094321,3479/5367/5291/154/4086/10267/3953/4157/3685/59345/7349/115/7253,13
Cellular Processes,Transport and catabolism,hsa04145,Phagosome,14/321,100/5151,0.0033332810998377115,0.03264316663289345,0.02722280390067097,3113/3123/3115/3122/3119/3109/84617/3673/3117/3108/83547/2214/1514/3685,14
Human Diseases,Infectious disease: viral,hsa05169,Epstein-Barr virus infection,20/321,170/5151,0.0041516302912786365,0.03930210009077109,0.03277602861535766,3113/3123/3115/3122/5610/4940/3119/3109/4609/4938/5291/1870/3725/3280/3117/4067/3108/3665/5336/3383,20
Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,7/321,35/5151,0.005048270990210977,0.04624867616838444,0.03856913320195144,2335/3673/3655/3672/3685/1298/375790,7
